Agency,EntryPoint,Query,ResponseCode
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/codelist/all/all/latest/all,404
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/categoryscheme/all/all/latest/all,404
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/hierarchicalcodelist/all/all/latest/all,404
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/organisationscheme/all/all/latest/all,404
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/agencyscheme/all/all/latest/all,404
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/dataproviderscheme/all/all/latest/all,404
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/dataconsumerscheme/all/all/latest/all,404
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/organisationunitscheme/all/all/latest/all,404
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/transformationscheme/all/all/latest/all,404
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/rulesetscheme/all/all/latest/all,404
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/userdefinedoperatorscheme/all/all/latest/all,404
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/customtypescheme/all/all/latest/all,404
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/namepersonalisationscheme/all/all/latest/all,404
ISTAT,http://sdmx.istat.it/WS_CENSPOP/rest,/namealiasscheme/all/all/latest/all,404
